HST_ID,X,X_err,Y,Y_err,F606W_Vegamag,F606W_mag_err,F814W_Vegamag,F814W_mag_err,N_detect,HST_Field,F098M_Vegamag,F098M_mag_err,F139M_Vegamag,F139M_mag_err,F153M_Vegamag,F153M_mag_err,F167N_Vegamag,F167N_mag_err,F130N_Vegamag,F130N_mag_err,GaiaDR3_ID,Gmag,BPmag,RPmag,RA,DEC,distance
GB13065627,4647.270,0.133,4799.291,0.099,25.402,0.098,21.919,0.122,4,HD43_ACSWFC,19.845,0.020,17.804,0.013,17.442,0.021,17.203,0.030,,,,,,,267.7539894,-29.0668372,5.410442594092165
GB04726261,4716.385,0.044,4917.109,0.020,22.642,0.010,20.633,0.017,4,HD43_ACSWFC,19.540,0.018,18.164,0.019,17.893,0.033,17.721,0.051,,,,,,,267.7531098,-29.0655279,5.423326556270127
GB01689891,4714.891,0.030,4877.937,0.026,23.006,0.029,19.539,0.020,4,HD43_ACSWFC,17.563,0.005,15.569,0.004,15.160,0.005,14.890,0.007,,,,,,,267.7531291,-29.0659633,5.587089378584126
GB12013208,4555.720,0.290,5054.944,0.025,25.135,0.026,21.785,,3,HD43_ACSWFC,,,,,,,,,,,,,,,267.7551517,-29.0639959,5.60501221672765
GB10515743,4721.260,0.070,4923.322,0.033,24.785,0.077,21.589,0.034,4,HD43_ACSWFC,19.756,0.020,17.967,0.015,17.714,0.027,17.446,0.037,,,,,,,267.7530477,-29.0654588,5.624218894334002
GB16744861,4477.662,0.137,4821.310,0.175,25.598,,22.379,0.049,3,HD43_ACSWFC,20.368,0.028,18.306,0.018,17.947,0.030,17.724,0.045,,,,,,,267.7561441,-29.0665917,5.628601555561862
GB01436728,4721.545,0.036,4909.979,0.031,22.832,0.008,19.329,0.013,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7530442,-29.0656071,5.636981129914364
GB16608305,4628.001,0.155,4783.166,0.129,,,22.362,0.081,2,HD43_ACSWFC,20.400,0.030,18.574,0.022,18.179,0.036,17.930,0.053,,,,,,,267.7542344,-29.0670164,5.6807625665750905
GB16827982,4600.783,0.214,5058.091,0.211,25.719,,22.390,,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7545783,-29.0639600,5.70076714431855
GB21037036,4676.630,0.177,5029.626,0.268,,,23.044,0.008,2,HD43_ACSWFC,21.025,0.046,19.167,0.034,18.878,0.064,18.700,0.102,,,,,,,267.7536140,-29.0642771,5.915499545835231
GB10602518,4729.969,0.088,4916.281,0.048,24.968,0.081,21.601,0.050,4,HD43_ACSWFC,19.670,0.019,17.641,0.013,17.259,0.020,16.894,0.025,,,,,,,267.7529371,-29.0655371,5.966844137123675
GB09367331,4710.928,0.073,4991.677,0.070,24.714,0.055,21.430,0.016,4,HD43_ACSWFC,19.613,0.017,17.820,0.013,17.486,0.022,17.249,0.031,,,,,,,267.7531784,-29.0646990,6.00165019457948
GB10054147,4614.421,0.161,4770.863,0.074,24.979,,21.526,0.045,3,HD43_ACSWFC,19.352,0.015,17.260,0.010,16.835,0.015,16.562,0.020,,,,,,,267.7544083,-29.0671534,6.003114801534549
GB18044971,4730.433,0.209,4904.441,0.368,,,22.550,0.007,2,HD43_ACSWFC,20.701,0.037,18.907,0.029,18.444,0.045,18.081,0.062,,,,,,,267.7529312,-29.0656687,6.00677302720643
GB16577634,4446.396,0.056,4984.623,0.100,,,22.358,0.015,2,HD43_ACSWFC,20.211,0.026,18.268,0.018,17.872,0.028,17.633,0.041,,,,,,,267.7565410,-29.0647766,6.015525877736886
GB14253191,4728.058,0.032,4884.871,0.181,25.301,,22.067,,2,HD43_ACSWFC,20.170,0.025,18.264,0.018,17.925,0.030,17.662,0.043,,,,,,,267.7529587,-29.0658850,6.037326682374124
GB09232000,4553.493,0.109,5066.227,0.007,24.669,,21.411,0.027,3,HD43_ACSWFC,,,,,,,,,,,,,,,267.7551800,-29.0638702,6.06616565300348
GB19274278,4626.229,0.571,4771.489,0.222,,,22.724,0.028,2,HD43_ACSWFC,20.708,0.036,18.743,0.025,18.453,0.045,18.143,0.063,,,,,,,267.7542571,-29.0671462,6.101936430362456
GB21168322,4639.653,0.729,4775.957,0.217,,,23.077,0.200,2,HD43_ACSWFC,21.095,0.048,19.057,0.031,18.802,0.057,18.558,0.087,,,,,,,267.7540864,-29.0670966,6.117281770025476
GB05922029,4672.019,0.057,4793.620,0.076,23.766,0.051,20.877,0.015,4,HD43_ACSWFC,19.398,0.016,17.901,0.016,17.613,0.027,17.364,0.038,,,,,,,267.7536749,-29.0669003,6.140139877057118
GB16163134,4727.704,0.296,4965.023,0.154,,,22.305,0.025,2,HD43_ACSWFC,20.496,0.031,18.818,0.025,18.453,0.043,18.349,0.073,,,,,,,267.7529653,-29.0649953,6.182703364763777
GB14078117,4465.782,0.078,4812.682,0.015,,,22.045,0.046,2,HD43_ACSWFC,19.865,0.020,17.654,0.012,17.254,0.019,16.950,0.026,,,,,,,267.7562963,-29.0666879,6.2156156830326985
GB13196354,4614.272,0.118,5069.255,0.069,25.091,0.105,21.935,0.051,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7544063,-29.0638365,6.235114692189164
GB18037161,4589.533,0.159,5072.752,0.082,,,22.549,0.099,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7547207,-29.0637975,6.2390747412533845
GB17763568,4602.160,0.127,5073.114,0.194,25.295,,22.512,0.008,3,HD43_ACSWFC,,,,,,,,,,,,,,,267.7545613,-29.0637938,6.300737139242763
GB07701890,4581.337,0.150,5075.892,0.025,24.499,0.098,21.181,0.028,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7548249,-29.0637626,6.354695408359988
GB05449818,4673.870,0.087,4785.299,0.093,24.669,0.016,20.786,0.026,4,HD43_ACSWFC,18.583,0.009,16.318,0.006,15.848,0.008,15.567,0.011,,,,,,,267.7536514,-29.0669928,6.453487741089113
GB14102741,4424.953,0.083,4960.183,0.145,25.465,,22.048,0.015,3,HD43_ACSWFC,20.017,0.022,18.033,0.015,17.705,0.025,17.498,0.038,,,,,,,267.7568150,-29.0650485,6.469900380143302
GB18103036,4419.232,0.074,4902.630,0.122,,,22.558,0.035,2,HD43_ACSWFC,20.399,0.030,18.198,0.017,17.801,0.028,17.445,0.037,,,,,,,267.7568871,-29.0656879,6.488102405975358
GB16954637,4439.461,0.092,4999.895,0.014,25.061,,22.406,0.035,3,HD43_ACSWFC,20.950,0.045,19.658,0.055,19.239,0.092,19.090,0.155,,,,,,,267.7566302,-29.0646071,6.5539617267674055
GB06004198,4476.498,0.055,5044.602,0.095,24.046,,20.892,,2,HD43_ACSWFC,18.984,0.012,17.245,0.010,16.928,0.015,16.690,0.022,,,,,,,267.7561609,-29.0641113,6.591940625188375
GB18701389,4418.805,0.234,4886.599,0.014,,,22.641,0.107,2,HD43_ACSWFC,20.656,0.035,18.461,0.020,18.127,0.034,17.860,0.049,,,,,,,267.7568927,-29.0658661,6.593527537493357
GB16797623,4575.374,0.101,5083.393,0.128,,,22.386,0.110,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7549006,-29.0636792,6.6582452684890745
GB17578269,4449.342,0.208,4814.204,0.047,,,22.488,0.066,2,HD43_ACSWFC,20.376,0.029,18.312,0.018,17.912,0.031,17.661,0.045,,,,,,,267.7565052,-29.0666709,6.679100936325007
GB01208857,4608.306,0.015,4749.092,0.024,22.904,0.011,19.080,0.009,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7544852,-29.0673951,6.811028413487119
GB11344773,4569.174,0.112,5086.975,0.097,24.854,0.025,21.699,0.001,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7549794,-29.0636394,6.813679777776451
GB08846776,4608.051,0.110,5086.497,0.024,24.523,0.011,21.355,0.020,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7544852,-29.0636448,6.8666638606233805
GB19746080,4429.734,0.001,4835.280,0.131,,,22.798,0.066,2,HD43_ACSWFC,20.747,0.038,18.630,0.023,18.270,0.039,17.998,0.055,,,,,,,267.7567543,-29.0664366,6.87320881585387
GB18377149,4435.650,0.085,4824.153,0.048,,,22.595,0.084,2,HD43_ACSWFC,20.571,0.033,18.450,0.020,18.124,0.035,17.781,0.047,,,,,,,267.7566792,-29.0665603,6.895816394228596
GB05189820,4646.443,0.096,4756.099,0.023,24.164,0.002,20.733,0.018,4,HD43_ACSWFC,18.711,0.010,16.740,0.007,16.346,0.011,16.091,0.015,,,,,,,267.7540003,-29.0673173,6.955127892074246
GB00946482,4746.651,0.017,4972.388,0.027,20.277,0.001,18.693,0.014,4,HD43_ACSWFC,17.678,0.006,16.579,0.007,16.309,0.011,16.127,0.015,,,,19.709,20.817,18.259,267.7527245,-29.0649135,6.994525540308782
GB12582053,4752.582,0.104,4957.143,0.058,25.024,0.135,21.858,0.026,4,HD43_ACSWFC,20.038,0.023,18.152,0.017,17.833,0.028,17.513,0.038,,,,,,,267.7526493,-29.0650830,7.056433435251081
GB00716086,4598.276,0.019,5093.908,0.019,21.677,0.021,18.238,0.009,4,HD43_ACSWFC,16.260,0.003,14.260,0.002,13.804,0.003,13.505,0.004,,,4057339301119017344,19.764,,,267.7546094,-29.0635624,7.110361485380278
GB19605456,4581.835,0.126,4739.058,0.074,26.018,,22.775,,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7548221,-29.0675061,7.122047713989489
GB14867077,4757.111,0.125,4943.685,0.076,25.224,0.067,22.143,0.038,4,HD43_ACSWFC,20.307,0.027,18.599,0.022,18.205,0.036,18.025,0.057,,,,,,,267.7525918,-29.0652326,7.132891277277913
GB13027519,4561.977,0.204,5094.808,0.080,25.117,0.045,21.914,0.021,4,HD43_ACSWFC,,,,,,,,,,,,,,,267.7550708,-29.0635523,7.150867806912588
GB06469825,4428.975,0.048,4817.462,0.118,24.739,,20.976,,2,HD43_ACSWFC,18.826,0.011,16.628,0.007,16.162,0.010,15.857,0.013,,,,,,,267.7567611,-29.0666333,7.255004407049063
GB01536373,4421.092,0.056,5003.189,0.021,23.285,0.020,19.419,0.014,4,HD43_ACSWFC,17.222,0.005,14.956,0.003,14.504,0.004,14.159,0.005,,,,20.968,,21.438,267.7568626,-29.0645702,7.25650764346575
GB07005488,4434.538,0.070,4809.737,0.052,24.877,0.041,21.068,0.026,4,HD43_ACSWFC,18.923,0.013,16.735,0.008,16.284,0.011,16.005,0.015,,,,,,,267.7566935,-29.0667205,7.259269377042258
GB17516160,4421.239,0.035,4830.119,0.023,,,22.480,0.172,2,HD43_ACSWFC,20.483,0.031,18.404,0.020,18.004,0.031,17.789,0.047,,,,,,,267.7568623,-29.0664939,7.270289591175555
GB16730700,4437.368,0.192,4803.117,0.020,,,22.378,0.021,2,HD43_ACSWFC,20.354,0.029,18.353,0.020,18.016,0.034,17.661,0.046,,,,,,,267.7566575,-29.0667941,7.330026554354475
GB15686816,4587.035,1.063,5100.210,0.779,25.524,,22.245,,2,HD43_ACSWFC,,,,,,,,,,,,,,,267.7547493,-29.0634911,7.336806591452756
GB07862006,4463.032,0.066,5058.192,0.074,24.911,,21.206,,2,HD43_ACSWFC,19.037,0.012,16.933,0.008,16.476,0.012,16.189,0.015,,,,,,,267.7563319,-29.0639602,7.354067763843443
GB19605376,4555.728,0.561,5099.919,0.227,,,22.775,0.050,2,HD43_ACSWFC,20.953,0.044,19.145,0.033,18.775,0.056,18.529,0.085,,,,,,,267.7551502,-29.0634954,7.3841861135854545
GB08314085,4537.177,0.078,4737.113,0.200,24.712,,21.276,,2,HD43_ACSWFC,19.124,0.013,17.035,0.008,16.571,0.012,16.310,0.017,,,,,,,267.7553925,-29.0675293,7.41718913451834
GB20462723,4764.761,0.119,4954.812,0.035,,,22.922,0.075,2,HD43_ACSWFC,21.155,0.052,19.281,0.036,19.026,0.068,18.556,0.087,,,,,,,267.7524944,-29.0651089,7.512675629422665
GB00394212,4600.897,0.026,4730.156,0.030,22.307,0.010,17.389,0.019,4,HD43_ACSWFC,14.891,0.001,12.350,0.001,11.789,0.001,11.373,0.001,,,4057339301118942720,18.938,21.633,17.212,267.7545796,-29.0676055,7.522289993478398
GB14157300,4651.918,0.144,4742.900,0.075,25.201,,22.055,,2,HD43_ACSWFC,20.093,0.024,18.144,0.016,17.781,0.027,17.560,0.040,,,,,,,267.7539312,-29.0674636,7.5249165865407175
